Node_id,prediction,DC,BC,CC,EC,CEN,ECC,RAD,Conectivity_Score
LRRC8A,Up,0.020143884892086333,0.022940162042884765,0.27429653835739276,0.004463311993699357,0.9513299377475948,0.40000000000000036,0.41066075850384465,0.16778720706951666
MSI2,Up,0.08201438848920864,0.0015513308371819337,0.47319308134255555,0.132394181037731,0.6689303904923599,0.40000000000000036,0.6234849472175159,0.6622027290092952
TPP1,Up,0.2892086330935252,0.11412975694718057,0.473885338677543,0.3145062002142357,0.640633842671194,0.40000000000000036,0.6241365828228855,1
SELENBP1,Up,0.024460431654676262,0.01663450408540347,0.3555447522117723,0.01564661566427884,0.9323712507074136,0.40000000000000036,0.5042356314349017,0.39276097544094735
APCDD1,Up,0,0,0,0,1,0,0,0.06580047399184163
CPX-8674,Down,0.4015873015873016,0.044526295544029086,0.5676991569470387,0.367914528793884,0.4228680932609391,1,0.6787941787941789,0.595296144129387
CPX-8675,Down,0.380952380952381,0.041440107482955214,0.550286613870429,0.3520406655071699,0.44075375279463436,1,0.6632016632016628,0.6253072675905401
GNAQ,Down,0.48730158730158735,0.5300975423775072,0.8501013420368264,0.36245148849144454,0.18205046311082718,1,0.9012474012474012,0.5765147678107946
CPX-3192,Down,0.226984126984127,0.012113161698731483,0.5120018941979185,0.2203271745783039,0.5084637496007666,1,0.6280318780318779,0.39136956588447924
CPX-8699,Down,0.31111111111111117,0.024824942581023666,0.5481772214207248,0.3025303143877656,0.46566592143085284,1,0.6612959112959116,0.407621167306751
CPX-8740,Down,0.2587301587301588,0.016015681631798364,0.5291855537757182,0.26152930390274054,0.4963270520600448,1,0.6439708939708937,0.3987568736046926
CPX-8741,Down,0.31269841269841275,0.02526590750061604,0.5493272954973034,0.3029228241737517,0.4640689875439157,1,0.6623354123354122,0.42291888009895195
CPX-8762,Down,0.226984126984127,0.012113161698731483,0.5120018941979185,0.2203271745783039,0.5084637496007666,1,0.6280318780318779,0.39136956588447924
CPX-8763,Down,0.31111111111111117,0.024824942581023666,0.5481772214207248,0.3025303143877656,0.46566592143085284,1,0.6612959112959116,0.4226347183004304
CPX-8769,Down,0.261904761904762,0.053185909769117315,0.5166443873756741,0.2363573389124299,0.502714787607793,1,0.6323631323631322,0.3975968738434309
CPX-8771,Down,0.3365079365079366,0.07874186315090533,0.5516310719623316,0.3042284998123531,0.4621526668795912,1,0.6644144144144142,0.42499990747812333
CPX-8641,Down,0.434920634920635,0.07301183158237326,0.6045764914908696,0.3866772822784425,0.3682529543276909,1,0.7110187110187112,0.5615012535247991
CPX-8642,Down,0.4333333333333334,0.0759605451640524,0.6065940522462263,0.3803928229808326,0.3650590865538167,1,0.7127512127512126,0.5993946239263891
MTHFD1,Down,0.14920634920634923,0.10985577143236229,0.4467753609108751,0.03380443037548546,0.6537847333120409,0,0.5651420651420653,0.361138758268593
ACAD8,Down,0.07301587301587302,0.008807360105255046,0.37233669160119653,0.018288875581190734,0.7173427020121368,0,0.48839223839223855,0.2570423816784303
CPX-5641,Down,0.28571428571428575,0.3964865029668309,0.622661122661123,0.07535336976955802,0.3656978601085915,0,0.7264379764379765,0.45056077256932625
ANK2,Down,0.5555555555555557,0.3672275344133864,0.8189916052958037,0.6214350414959743,0.22261258383902904,1,0.8792446292446288,0.5458941927912054
ATG7,Down,0.5317460317460319,0.3749533687641198,0.8110347252840393,0.5054640739380308,0.23315234749281377,1,0.8735273735273736,0.6111491397091414
USP8,Down,0.12539682539682542,0.08638218439630019,0.6240958712441604,0.07974807898363384,0.5020760140530182,1,0.7276507276507274,0.3605728758182798
STIM1,Down,0.2571428571428572,0.05398997500035585,0.49362996317181107,0.3247951360186719,0.5726604918556373,0,0.6107068607068609,0.46331953587171737
WBP2,Down,0.0380952380952381,0.01629182869381857,0.6212281902155321,0.03965474570839045,0.506547428936442,1,0.7252252252252256,0.2283672898974789
CPX-4101,Down,0.3492063492063493,0.16330445873720173,0.6122625548958407,0.27405254950659047,0.3724049824337273,1,0.7176022176022174,0.5771176206128393
CPX-909,Down,0.3492063492063493,0.16330445873720173,0.6122625548958407,0.27405254950659047,0.3724049824337273,1,0.7176022176022174,0.5771176206128393
DVL3,Down,0.39523809523809533,0.12237762995867951,0.5688698359604558,0.34156915009258443,0.4366017246885979,1,0.6798336798336795,0.6461591977702358
KCNA2,Down,0.280952380952381,0.07393971049576535,0.4861877691328469,0.269403151230048,0.5681890769722133,0,0.6036036036036037,0.392464848931797
CPX-2285,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.3126669749347819
CPX-2286,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.1888461253228605
CPX-2289,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.2571917901970283
CPX-2290,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.24422344442685973
CPX-2292,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.6490696778061184
CPX-2295,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.55521805707637
CPX-2297,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.7391077803913685
CPX-2298,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.55521805707637
CPX-7582,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.3126669749347819
