Node_id,DEG,DC,BC,CC,EC,CEN,ECC,RAD,Target_group_score_normalized,Conectivity_score_topo
DVL3,Down,0.2347988774555659,0.0352827373588648,0.7429782723900371,0.3316724064257249,0.5758653390232338,0.75,0.8622224326499692,0.1,0.958229377850968
TBL1X,Up,0.2956033676333021,0.0822774788276047,0.8124396368553217,0.5256879652855558,0.3662873399715505,0.75,0.9080535959471616,0.1,0.963095716446623
GATM,Up,0.0383536014967259,0.0058658309431561,0.6595060760486084,0.0125557572167939,0.8715030820293979,0.6000000000000001,0.7943752663226173,0.1,0.701310808955349
KCNA2,Down,0.167446211412535,0.021317639442957,0.7151844924332598,0.2617070771338011,0.6735419630156472,0.6000000000000001,0.8413900856967,0.1,0.757740151467726
ATP1A2,Up,0.0832553788587465,0.0163182823925096,0.7461415646620544,0.1615273678669601,0.5599810336652442,0.75,0.8644950523175986,0.1,0.701867429514778
CPX-2285,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.694677595687749
CPX-2286,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.596824622365828
CPX-2289,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.650836741831668
CPX-2290,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.64058813510142
CPX-2292,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,0.96052946807162
CPX-2295,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,0.886360536358823
CPX-2297,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,1.03168465783041
CPX-2298,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,0.886360536358823
CPX-7582,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.694677595687749
CPX-7583,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.596824622365828
CPX-7585,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.650836741831668
CPX-7586,Down,0.1010289990645463,0.0009780888213174,0.6850162866449512,0.1882358897431478,0.7690848743480322,0.6000000000000001,0.816864731783533,0.1,0.644705406893611
CPX-7588,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,0.96052946807162
CPX-7589,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,0.886360536358823
CPX-7591,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,1.03168465783041
CPX-7592,Down,0.3601496725912067,0.0237854405494577,0.7929864253393665,0.7439698328669359,0.4196301564722617,0.75,0.8960276502059562,0.1,0.886360536358823
CPX-8104,Down,0.538821328344247,0.2883093426861605,0.8879037365421152,0.7002209813283111,0.251778093883357,0.75,0.9497182898537002,0.1,0.925120153956649
SLC1A3,Up,0.1225444340505145,0.0270117610696965,0.7527516778523491,0.2261836186734093,0.5474158368895211,0.75,0.8691823303820841,0.1,0.786668787740901
CPE,Up,0.0215154349859681,0.0071125638304818,0.6733909702209414,0.020473672109186,0.7802275960170697,0.6000000000000001,0.8068273282515034,0.1,0.65638087845078
WLS,Up,0.0074836295603367,0.0030615797006451,0.6352514725872226,0.0045550574002679,0.9554291133238502,0.6000000000000001,0.7713176459447942,0.1,0.551210372883078
CPX-8663,Down,0.176800748362956,0.0053222400409308,0.735764891104697,0.3142246288364569,0.5851114272166904,0.75,0.8569669996685763,0.1,0.847243842004672
CPX-8668,Down,0.1936389148737137,0.0134139697881483,0.7379594701289588,0.3223093823581201,0.5855855855855856,0.75,0.8585767719331471,0.1,0.828527082364325
CPX-8679,Down,0.1945743685687558,0.0082831973271073,0.7334554015171333,0.3176599598767886,0.5910384068278806,0.75,0.8552625349178543,0.1,0.860634132529633
CPX-8683,Down,0.2048643592142189,0.0097730334765191,0.7385425812115892,0.3311178025737764,0.5827406353722143,0.75,0.8590028881208276,0.1,0.895515767821373
CPX-8687,Down,0.1833489242282507,0.0073788809935604,0.7378947368421054,0.3192310654021612,0.5787102892366051,0.75,0.8585294256900716,0.1,0.874579181222158
CPX-8692,Down,0.1655753040224508,0.0032306892639159,0.7244854017741797,0.2995566848406415,0.6247036510194405,0.6000000000000001,0.8485393684011174,0.1,0.824489200129255
CPX-8678,Down,0.2188961646398503,0.0102142427433175,0.741929793614394,0.3400520677279477,0.5680417259364627,0.75,0.8614648927607594,0.1,0.880573463690484
CPX-8664,Down,0.2039289055191768,0.0074004724476158,0.7430439007154845,0.339209707259333,0.5590327169274538,0.75,0.8622697788930449,0.1,0.917858060188159
