GO_term,Term_Name_Clean,Ontology
GO:0001822,Kidney Development,Biological process
GO:0006913,Nucleocytoplasmic Transport,Biological process
GO:0022618,protein-RNA Complex Assembly,Biological process
GO:0033043,Regulation Of Organelle Organization,Biological process
GO:0009411,Response To UV,Biological process
GO:0016575,Histone Deacetylation,Biological process
GO:0031396,Regulation Of Protein Ubiquitination,Biological process
GO:0009299,mRNA Transcription,Biological process
GO:0032786,"Positive Regulation Of DNA-templated Transcription, Elongation",Biological process
GO:0043280,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,Biological process
GO:0043433,Negative Regulation Of DNA-binding Transcription Factor Activity,Biological process
GO:0090068,Positive Regulation Of Cell Cycle Process,Biological process
GO:0022613,Ribonucleoprotein Complex Biogenesis,Biological process
GO:0044782,Cilium Organization,Biological process
GO:2001056,Positive Regulation Of Cysteine-Type Endopeptidase Activity,Biological process
GO:0045580,Regulation Of T Cell Differentiation,Biological process
GO:1902806,Regulation Of Cell Cycle G1/S Phase Transition,Biological process
GO:0006364,rRNA Processing,Biological process
GO:0070316,Regulation Of G0 To G1 Transition,Biological process
GO:0071705,Nitrogen Compound Transport,Biological process
GO:0051896,Regulation Of Protein Kinase B Signaling,Biological process
GO:0006754,ATP Biosynthetic Process,Biological process
GO:0007346,Regulation Of Mitotic Cell Cycle,Biological process
GO:0045911,Positive Regulation Of DNA Recombination,Biological process
GO:0120031,Plasma Membrane Bounded Cell Projection Assembly,Biological process
GO:0048666,Neuron Development,Biological process
GO:0001558,Regulation Of Cell Growth,Biological process
GO:0048514,Blood Vessel Morphogenesis,Biological process
GO:0086002,Cardiac Muscle Cell Action Potential Involved In Contraction,Biological process
GO:0016236,Macroautophagy,Biological process
GO:0051128,Regulation Of Cellular Component Organization,Biological process
GO:0043067,Regulation Of Programmed Cell Death,Biological process
GO:0032438,Melanosome Organization,Biological process
GO:0065002,Intracellular Protein Transmembrane Transport,Biological process
GO:0071417,Cellular Response To Organonitrogen Compound,Biological process
