proteina,GO_term,Term_Name_Clean
SOX4,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-265,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2391,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
KDM4B,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
KDM6B,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
NCOR1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
KMT5B,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-709,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
SIRT6,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
DNMT1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
KDM4A,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-3321,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-3323,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-880,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-922,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
AR,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
KDM5C,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7091,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7104,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
NSD2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
EHMT2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
NCOR2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-508,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-513,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5342,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-631,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-632,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-654,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-662,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-664,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-678,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-816,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
TET2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CTCF,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6597,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6600,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HMOX1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
NFKBIA,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CSNK2A1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5833,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5837,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5838,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5832,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
SPI1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2014,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-624,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8834,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
EIF2AK2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
IRF1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-525,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-666,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2007,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
RIPK1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
LMNB1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CDH1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CSNK2A2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PIK3CA,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1988,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5830,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5836,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MAP2K1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
