min_cluster_size,min_samples,cluster_selection_epsilon,alpha,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
14,6,0.0,2.0,28,4202,77.9591836734694,0.6127090944690486,0.5219772033013539,1060.67145234729
10,5,0.0,2.0,34,4161,77.19851576994434,0.6126744303112331,0.5191302424687481,950.1995789220805
40,6,0.0,2.0,14,4139,76.79035250463822,0.6123269822750464,0.5964169629017497,1196.4058587061977
60,40,0.0,1.0,7,4238,78.62708719851577,0.6122418007029006,0.592563600839994,1697.2450018610987
80,20,0.0,1.5,4,4405,81.72541743970315,0.6119898548054641,0.56579157932239,1535.8895742463912
40,6,0.0,1.5,13,4056,75.25046382189238,0.6117367368862853,0.5405805254421676,1284.485884474859
50,35,0.0,2.0,5,4452,82.5974025974026,0.6115331483184729,0.5321589344182708,1094.2745616775803
12,5,0.0,2.0,32,4168,77.32838589981446,0.6110755819866819,0.5185851812623883,942.6445720554358
12,4,0.0,2.0,35,4143,76.86456400742115,0.6110249992739162,0.5420980841590197,974.0230845634039
6,4,0.0,1.5,69,3981,73.85899814471243,0.61066682336115,0.5350413988905574,786.9908342275436
50,40,0.0,1.0,8,4187,77.6808905380334,0.6100151876001013,0.5864511047969572,1604.0647786992367
50,15,0.0,1.5,9,4157,77.12430426716142,0.6096835340157385,0.6289366621398812,1573.1324016723586
40,15,0.0,1.0,13,4004,74.28571428571429,0.6082364134986346,0.5008543517324135,1440.0577531434449
60,15,0.0,1.5,8,4208,78.07050092764378,0.6080379770795503,0.6393287163468204,1620.6192395932555
70,15,0.0,1.5,8,4208,78.07050092764378,0.6080379770795503,0.6393287163468204,1620.6192395932555
8,4,0.0,1.5,59,4019,74.56400742115028,0.6080214071080093,0.5584345475333851,854.9344366579041
30,15,0.0,1.5,14,4202,77.9591836734694,0.6069693935173555,0.5211467344481925,1208.1036618735627
10,3,0.0,2.0,40,4084,75.7699443413729,0.6056484093681126,0.5511458592943608,902.0254318119752
18,6,0.0,2.0,25,4231,78.49721706864564,0.6056088827687852,0.5485700462937787,1148.6068334783758
16,6,0.0,2.0,26,4214,78.18181818181819,0.6052186242813797,0.5471258876847647,1127.7003134820293
6,2,0.0,2.0,71,4031,74.78664192949907,0.604251901682147,0.602452726817708,731.4000098731724
40,10,0.0,2.0,10,4177,77.49536178107607,0.6042506093821346,0.6072488159290584,1153.0789539606483
40,4,0.0,2.0,13,4095,75.97402597402598,0.6040866560101287,0.5938909374891918,1198.4414253603622
30,20,0.0,1.0,16,4098,76.02968460111316,0.6036768396139662,0.5102486753827313,1214.4876389272247
40,8,0.0,1.5,12,4074,75.58441558441558,0.6030741295630998,0.5744781904877143,1330.1556808583798
14,4,0.0,2.0,30,4178,77.5139146567718,0.6027483361880103,0.5636709061907204,1004.2748282648811
50,40,0.0,1.5,6,4289,79.57328385899814,0.6023099024131394,0.524177305631507,1163.5268344503468
60,40,0.0,1.5,6,4289,79.57328385899814,0.6023099024131394,0.524177305631507,1163.5268344503468
4,4,0.0,1.5,83,3983,73.8961038961039,0.6022246902784804,0.5084788056364377,774.0284685168215
20,7,0.0,1.5,26,3942,73.13543599257885,0.6020020917449745,0.5242589697335668,877.1001112546381
50,45,0.0,1.5,6,4290,79.59183673469387,0.6019994892637167,0.5255949804874814,1176.5085683007437
80,6,0.0,2.0,4,4503,83.54359925788498,0.6017062822963055,0.6545181483536627,2011.5687581829982
90,6,0.0,2.0,4,4503,83.54359925788498,0.6017062822963055,0.6545181483536627,2011.5687581829982
100,6,0.0,2.0,4,4503,83.54359925788498,0.6017062822963055,0.6545181483536627,2011.5687581829982
50,4,0.0,2.0,12,4141,76.82745825602967,0.6008476466294843,0.5995117153415771,1190.5936106448496
8,8,0.0,1.0,53,3986,73.95176252319109,0.600513608781029,0.5706631734241879,870.4652757907148
50,35,0.0,1.0,8,4136,76.73469387755102,0.5996668736904465,0.6084544967671124,1545.8611277164941
60,35,0.0,1.0,8,4136,76.73469387755102,0.5996668736904465,0.6084544967671124,1545.8611277164941
8,7,0.0,1.5,45,4029,74.74953617810762,0.5990834531893755,0.5137371700867531,879.9522180955825
90,7,0.0,1.0,5,4228,78.44155844155844,0.5988959732973748,0.591958602940298,1895.5657304932115
100,7,0.0,1.0,5,4228,78.44155844155844,0.5988959732973748,0.591958602940298,1895.5657304932115
30,6,0.0,2.0,15,4187,77.6808905380334,0.5984711432527708,0.5965271458440482,1104.668720507307
14,5,0.0,2.0,28,4190,77.73654916512059,0.5979389536779517,0.5316757778011851,1028.9762736287562
40,9,0.0,2.0,11,4124,76.51205936920222,0.5976979976132476,0.6287086900264583,1096.867988961942
8,8,0.0,1.5,40,3998,74.17439703153988,0.5976963119791378,0.49535747200707336,946.5490795991494
10,4,0.0,1.5,45,4025,74.67532467532467,0.5966974590897504,0.5716459428880799,989.2820037803681
10,8,0.0,1.5,37,4024,74.65677179962894,0.5964599211229814,0.4961755485877997,996.3022580489295
90,10,0.0,1.0,5,4248,78.81261595547309,0.5964413328771367,0.5977006154348968,1807.256305174479
16,10,0.0,1.5,24,3960,73.46938775510205,0.5957356072397595,0.5045024137582939,822.1742844380813
10,7,0.0,1.5,38,4032,74.8051948051948,0.5956549739994619,0.5176543323113144,987.4721922324655
30,9,0.0,2.0,14,4237,78.60853432282003,0.5954518896926847,0.5797338249994295,909.6621890653873
18,8,0.0,1.5,26,3911,72.56029684601113,0.5951203725107216,0.5215876859590528,857.0123329202244
50,10,0.0,2.0,7,4307,79.90723562152134,0.5949419342930647,0.6630248893567486,1318.7945124971623
60,10,0.0,2.0,7,4307,79.90723562152134,0.5949419342930647,0.6630248893567486,1318.7945124971623
18,10,0.0,1.5,23,3976,73.76623376623377,0.5947338946140756,0.5060573093185653,842.197392139656
16,15,0.0,1.0,27,3886,72.0964749536178,0.5943448933135717,0.5075645181997643,850.4410888539934
8,2,0.0,2.0,63,4045,75.04638218923934,0.5938145167155594,0.6429173952515008,789.4042210844084
14,8,0.0,1.5,29,4078,75.65862708719851,0.5935298462979159,0.5199745128959162,1123.1430407751045
18,15,0.0,1.0,26,3903,72.41187384044527,0.5934269192214205,0.5117885496542386,866.4490238341388
18,7,0.0,1.5,27,4097,76.01113172541744,0.5928392699031246,0.5368087990255428,1168.5703130449826
40,2,0.0,2.0,13,4146,76.92022263450835,0.5927861430352631,0.6326709289136836,1262.943169197005
