eps,min_samples,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
0.0228,60,6,3564,66.12244897959184,0.5838325266707762,0.5306865674250241,1609.0992889829204
0.0391,200,2,3859,71.59554730983302,0.5836497251952455,0.61541578809177,2961.4914872184054
0.0064,12,19,4206,78.03339517625231,0.5605880086410626,0.4951275725555572,1482.7425569299703
0.0391,150,3,3464,64.26716141001856,0.5569373068077961,0.6210369952760106,2364.8886031853863
0.0119,40,7,4273,79.27643784786642,0.5560918776888975,0.4644942210503739,1624.4313508781236
0.0282,80,4,3473,64.43413729128015,0.5506290795996315,0.6375010627359335,2056.92355455113
0.0337,100,3,3377,62.65306122448979,0.550042668840851,0.6413175033081151,2459.5504665320636
0.0446,200,2,3630,67.3469387755102,0.5405856261147249,0.6985772604495477,2803.9693901099445
0.0282,70,5,3280,60.85343228200371,0.5393093457691506,0.6278213732173399,1765.1024312777743
0.05,200,3,3179,58.97959183673469,0.5039433756996837,0.7022063020342563,2127.4803941264245
0.0119,30,9,4075,75.60296846011131,0.5034281025406833,0.45348676013496153,1296.3297597635324
0.0446,150,3,3121,57.903525046382185,0.5032700948878843,0.7128978248905797,2246.7349935940947
0.0337,90,4,3162,58.66419294990723,0.4916630731503479,0.7118621308246708,1820.3870144682505
0.0064,10,27,4084,75.7699443413729,0.49106572666002485,0.5372759294457513,1132.7769101151173
0.0228,50,7,3348,62.11502782931354,0.47900551456959134,0.6205615628836721,1412.463512501885
0.0337,80,5,2900,53.80333951762524,0.45138195993666314,0.7233508323285175,1434.8215347628081
0.0391,100,4,2872,53.283858998144716,0.44084656971068,0.7919688263364639,1627.35188992338
0.0173,30,13,3307,61.35435992578849,0.4391827369735576,0.6000756228148261,992.4871915154567
0.05,150,2,2791,51.781076066790355,0.4086299329801827,0.7875004860968079,968.7996467774614
0.0119,20,14,3680,68.27458256029685,0.40497947573663445,0.5618809953586689,951.4991350601666
0.0119,18,16,3598,66.75324675324676,0.3952837572630613,0.5773632260216184,855.7629996129722
0.0228,40,10,2851,52.89424860853432,0.39278062348317483,0.6871494322353986,918.5489642459487
0.0282,60,7,2941,54.56400742115027,0.39214789532953825,0.7001336756831231,1098.4691150191306
0.0282,50,6,2593,48.10760667903525,0.38008199107537144,0.7454139072670651,1033.0027471396074
0.0667,200,2,2098,38.923933209647494,0.36538362547476483,0.8822357811191311,1047.6667385887945
0.0173,20,12,2853,52.931354359925784,0.35922260470735945,0.6392860165772866,494.18772143086994
0.0446,90,2,2004,37.17996289424861,0.354467612843619,1.0121640297204288,1172.4791397806548
0.05,100,2,1718,31.873840445269018,0.34231775841679457,1.0460102935875135,1216.8514574429325
0.05,90,2,1594,29.573283858998145,0.3357662424107602,1.0680317649531832,1244.4408236186982
0.0337,70,8,2534,47.01298701298701,0.3354206117204624,0.8440141842632554,975.2825995179151
0.0064,8,40,3908,72.50463821892393,0.3275470501210216,0.6275386768438287,480.8442627349962
0.0667,150,2,1336,24.786641929499073,0.32065495585569437,1.092054492763301,1265.8519615986402
0.0446,100,3,2249,41.72541743970316,0.30831119057740974,0.8340992927059022,622.8290459303321
0.0119,16,18,3472,64.41558441558442,0.296344345915456,0.6884500429178435,777.4018703100313
0.0833,200,2,1036,19.22077922077922,0.29582320295121073,1.1436520535447012,1201.4193447738435
0.0173,18,14,2712,50.31539888682745,0.2873217317305686,0.6706739915814218,444.7831618714438
0.0064,6,57,3691,68.4786641929499,0.27094697697425196,0.7113186581003506,387.5164141000954
0.0446,12,2,359,6.6604823747680895,0.2695105593678053,0.7618452983405068,26.182910989046153
0.0446,14,2,394,7.3098330241187375,0.26736459096508763,0.7896059045349724,33.32653000106444
0.0391,90,4,2603,48.29313543599258,0.26390190910702077,0.7803435008885178,529.3829010297859
0.0119,14,19,3351,62.17068645640074,0.26060819195344204,0.7044673324457396,756.2486758169923
0.0391,80,3,2254,41.81818181818181,0.2584536872374429,0.9172876634603879,619.2266606296972
0.0337,60,4,2327,43.172541743970314,0.24710723199986018,0.8473280680913905,490.6854016967996
0.0391,70,3,2049,38.01484230055658,0.24659761577201172,0.9777398860245198,666.9787999567202
0.0446,80,3,1723,31.96660482374768,0.23966288530742175,0.9754523863928058,692.1221240331976
0.0391,60,3,1756,32.57884972170687,0.23851470994767146,1.013310611134296,700.8133301652994
0.0446,70,3,1534,28.46011131725417,0.22530927070655649,1.0234346352991717,712.7961327133554
0.05,50,2,797,14.786641929499073,0.22240773329100982,0.8534162286195983,120.6854434581238
0.05,80,3,1354,25.120593692022265,0.2175444672409964,1.0383068543408491,720.8693037192382
0.0667,70,2,453,8.404452690166977,0.21228572581005495,0.8666912574067821,109.0921567449888
0.0446,40,2,873,16.196660482374767,0.21211966206014007,0.9115219769383892,131.88610385992618
0.0282,40,5,2353,43.65491651205937,0.20972676127217696,0.8145833754523801,410.94186013004384
0.05,40,2,622,11.539888682745826,0.20858401681062988,0.9121074684926939,127.15210993624703
